"ROLE_ID","OPERATOR_ID"
404000000000010001,100000001
404000000000010001,100000002
500000000000010002,203000000000012102
500000000000010107,203000000000016986
500000000000010107,203000000000016989
500000000000010107,203000000000016992
500000000000010107,203000000000016995
500000000000010107,203000000000016996
500000000000010107,203000000000017000
500000000000010107,203000000000017068
500000000000010107,203000000000017071
500000000000010107,203000000000017072
500000000000010107,203000000000017073
500000000000010107,203000000000017074
500000000000010107,203000000000017080
500000000000010107,203000000000017083
500000000000010107,203000000000017094
500000000000010107,203000000000017095
500000000000010107,203000000000017098
500000000000010107,203000000000017100
500000000000010107,203000000000017104
500000000000010107,203000000000017112
500000000000010107,203000000000017114
500000000000010107,203000000000017116
500000000000010107,203000000000017117
500000000000010107,203000000000017120
500000000000010107,203000000000017123
500000000000010107,203000000000017127
500000000000010107,203000000000017128
500000000000010107,203000000000017130
500000000000010107,203000000000017131
500000000000010107,203000000000017132
500000000000010107,203000000000017133
500000000000010107,203000000000017134
500000000000010107,203000000000017135
500000000000010107,203000000000017137
500000000000010107,203000000000017141
500000000000010107,203000000000017142
500000000000010107,203000000000017143
500000000000010107,203000000000017144
500000000000010107,203000000000017157
500000000000010107,203000000000017158
500000000000010107,203000000000017204
500000000000010107,203000000000017205
500000000000010107,203000000000017206
500000000000010107,203000000000017215
500000000000010107,203000000000017219
500000000000010107,203000000000017220
500000000000010107,203000000000017225
500000000000010107,203000000000017228
500000000000010107,203000000000017231
500000000000010107,203000000000017232
500000000000010107,203000000000017234
500000000000010107,203000000000017236
500000000000010107,203000000000017237
500000000000010107,203000000000017246
500000000000010107,203000000000017304
500000000000010107,203000000000017305
500000000000010107,203000000000017307
500000000000010107,203000000000017310
500000000000010107,203000000000017311
500000000000010107,203000000000017312
500000000000010107,203000000000017323
500000000000010107,203000000000017342
500000000000010107,203000000000018326
500000000000010107,203000000000018329
500000000000010107,203000000000018331
500000000000010107,203000000000018435
500000000000010107,203000000000019023
500000000000010107,203000000000019119
500000000000010107,203000000000019120
500000000000010107,203000000000019121
500000000000010107,203000000000019124
500000000000010107,203000000000019702
500000000000010107,203000000000019703
500000000000010107,203000000000019704
500000000000010107,203000000000019705
500000000000010107,203000000000019706
500000000000010107,203000000000019707
500000000000010107,203000000000019803
500000000000010107,203000000000019804
500000000000010107,203000000000019806
500000000000010107,203000000000022612
